,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1618210800000.0,2021-04-12 07:00:00,61300.0,60636.59,60711.01,4818.506765,293688577.42854756,133468.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618207200000.0,2021-04-12 06:00:00,60842.92,60101.19,60826.66,2659.931894,160761724.86850896,97953.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618203600000.0,2021-04-12 05:00:00,60287.19,60020.0,60207.01,1552.457457,93380598.82833596,56887.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618200000000.0,2021-04-12 04:00:00,60607.0,60056.0,60126.54,2502.185128,151075631.14222032,74298.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618196400000.0,2021-04-12 03:00:00,60456.29,59665.0,60368.96,2098.575788,126059391.46636347,68592.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618192800000.0,2021-04-12 02:00:00,59922.88,59586.01,59694.25,1268.139445,75795531.75118682,49539.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618189200000.0,2021-04-12 01:00:00,60147.9,59800.0,59865.36,1521.296424,91196678.77593634,51731.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618185600000.0,2021-04-12 00:00:00,60355.0,59605.0,59830.28,1825.011152,109336575.48508117,77192.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618182000000.0,2021-04-11 23:00:00,60107.96,59760.0,60002.43,1498.522957,89863588.42998485,72310.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618178400000.0,2021-04-11 22:00:00,60130.57,59433.29,60101.68,2000.612746,119731194.9236053,80813.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618174800000.0,2021-04-11 21:00:00,59707.81,59488.57,59610.72,967.262478,57637057.40907979,51851.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618171200000.0,2021-04-11 20:00:00,59820.0,59479.0,59707.8,1158.885152,69130625.45818008,54707.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618167600000.0,2021-04-11 19:00:00,60190.0,59557.13,59705.53,1932.371834,115645136.88304096,71642.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618164000000.0,2021-04-11 18:00:00,59948.89,59758.63,59865.0,1183.987714,70860690.17635237,56613.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
